username,waktu,teks_komentar,jumlah_likes,sumber_video
@yantosujarwo6082,1 year ago,Itu yang gen 3 ex taxi emak saya kalo lebaran barang2 se dapur masuk semua saking gede nya,0,https://youtube.com/watch?v=FDU3zV2_n04
@fawwazalilmi9272,1 year ago,Dasboard sama samping belakangnya mirip accord,0,https://youtube.com/watch?v=FDU3zV2_n04
@MatBensinX,1 year ago,Kocak sunvisor nya kaya kebalik yg ada mirror nya malah yg kanan😂,0,https://youtube.com/watch?v=FDU3zV2_n04
@faeyzatoys1448,1 year ago,"bagus,ban serep didalam,lebih terjaga,dripada di kolong kotor",0,https://youtube.com/watch?v=FDU3zV2_n04
@argoseto2105,1 year ago (edited),Om mobi review Honda AFRELA,0,https://youtube.com/watch?v=FDU3zV2_n04
@prengesprenges2364,1 year ago,"mungkin kalo namanya bukan vios orang ngga kepikiran kayak mobil buat taksi, karena dari dulu lihat vios untuk armada taksi",0,https://youtube.com/watch?v=FDU3zV2_n04
@muhammadabdillahikhtasyabi9662,1 year ago,Headrestnya nyambung itu,0,https://youtube.com/watch?v=FDU3zV2_n04
@TVCI_3654,1 year ago,"TYPE VIOS DI INDONESIA

Generasi 1 ( 2003 - 2007 )
- Type G Face Live
- Type G 
- Type E
- Limo

Generasi 2 ( 2007 - 2013 )
- TRD Supertivo ( Limited Edition )
- Type G
- Type E
- Limo

Generasi 3 ( 2013 - 2018 )
- TRD Supertivo ( Limited Edition )
- Type G
- Type E
- Limo

Generasi 4 Joker ( 2018 - 2023 )
- Type G
- Type E

Generasi 5 ( 2023 - Sekarang )
- Type G
- Type E",1,https://youtube.com/watch?v=FDU3zV2_n04
@FahiraNazwa-f7d,1 year ago,Saya pakai vios udh lmyan lama irit bandel dan hemat prawatan . Ga jadi maslah walopun d bilang taxi toh yang penting pungsinya. Vios punya jazz punya brio adda tinggl pakai tp vios yg sering d pakai,0,https://youtube.com/watch?v=FDU3zV2_n04
@TeguhSony,1 year ago,Mamangx + gemuk sedangkan bozx + kurus,0,https://youtube.com/watch?v=FDU3zV2_n04
@IslamHusain-2971,1 year ago,Seperti Biasaaaa pelit fitur nya toyota ...😂😂😂smuanya kd biasa biasa aja jadinya...harga sama mahalnya dgn mobil yg sekelas dgn fitur lebih banyak....😂😂😂😂,0,https://youtube.com/watch?v=FDU3zV2_n04
@Fadlyhabsy,10 months ago,1.5 cc kayaknya,0,https://youtube.com/watch?v=FDU3zV2_n04
@yudharvian,1 year ago,Setirnya sama kayak agya jg gk sih?,0,https://youtube.com/watch?v=FDU3zV2_n04
@mulyadi9192,1 year ago,"Generasi ke 5 om, ada generasi yang kelongkap",0,https://youtube.com/watch?v=FDU3zV2_n04
@fauzanerdandy2189,1 year ago,Lampu rear nya kek hrv😅,0,https://youtube.com/watch?v=FDU3zV2_n04
@UlihGrito,1 year ago,"Saya suka om mobi kalo review mobil, kayak gak bosen gitu nonton nya dari awal sampe akhir. Tapi kenapa sekarang malah di ganti mamang ini. Yang menurut saya membosankan banget.",0,https://youtube.com/watch?v=FDU3zV2_n04
@BriscoRusly,1 year ago,11:07 selalu jd hal yg menyenangkan saat tahu di mobil yg kita kendarai setirnya bisa disetel teleskopik.,2,https://youtube.com/watch?v=FDU3zV2_n04
@vicky_vicks,1 year ago,Vios. GR sport,0,https://youtube.com/watch?v=FDU3zV2_n04
@BrandalLan-v8k,1 year ago,duuuh males pake sedan,0,https://youtube.com/watch?v=FDU3zV2_n04
@ricardoricardo2199,1 year ago,"Kalo selera saya, style eksterior nya lebih gagah Vios Gen 3. Untuk yang terbaru Gen 4 eksteriornya terkesan kurang halus  bahannya.  Makanya saya tetap bertahan pake Gen 3.",4,https://youtube.com/watch?v=FDU3zV2_n04
@pronto_rusuh,1 year ago (edited),"Mungkin avanzanya di bikin taksi. Sedannya apa donk. 

Toyota salah satu ramah buat rental, perusahaan taksi, online",1,https://youtube.com/watch?v=FDU3zV2_n04
@velixprasetyo8876,1 year ago,Gen 4 Klewat,0,https://youtube.com/watch?v=FDU3zV2_n04
@matthunter9562,2 years ago,Mirip2 Audi A6 jadul eksteriornya … 😂😂😂,0,https://youtube.com/watch?v=FDU3zV2_n04
@nenibattye,2 years ago,"Pas puter balik masih kaku ga? Yg gen 3 kan mentok terus, mesti mundur dulu kalo puter balik",0,https://youtube.com/watch?v=FDU3zV2_n04
@gdembun3750,2 years ago,Aslinya sebenernya vios inj menjadi generasi ke 6 karena toyota membuat vios joker (gen4) dan vios generasi ke 5 sudah memiliki transmisi cvt dengan mesin 2NR-FE...,6,https://youtube.com/watch?v=FDU3zV2_n04
@YoutuberGedeMilik,2 years ago,reqwest review vios tipe G gen 1 om 🙏🏼🙏🏼🙏🏼,0,https://youtube.com/watch?v=FDU3zV2_n04
@f.dexprezzzsurabaya7609,2 years ago,Vios itu sebagai pengganti soluna. Dan yang bikin redup karena ada taxi. Bahkan limo bekas taxi sampai ada yg upgrade ke vios. Jadi fisiknya itu lah yg buat pembeli bekas yg ingin vios ragu karena ini taxi atau originalnya,0,https://youtube.com/watch?v=FDU3zV2_n04
@hanan534,2 years ago,Kita tunggu 2050 apakah akan menjadi ek taxi lagi😂😂,0,https://youtube.com/watch?v=FDU3zV2_n04
@MGP2006,2 years ago (edited),Mobil sedan terbaru 2023 rekomendasi untuk perempuan kalau tau komentar ya,0,https://youtube.com/watch?v=FDU3zV2_n04
@kadekdewik7661,2 years ago,Ya om vios gak ada taksi sekarang tapi sudah memlih 7 kursi jarang sedan kalau pun sedan palingan mercedes atau camry .,0,https://youtube.com/watch?v=FDU3zV2_n04
@dhanaardwistia9319,2 years ago,bukannya vios ini generasi ke 5 y om? gen 4 ada lg yg mukanya mirip sama ky yaris terakhir,0,https://youtube.com/watch?v=FDU3zV2_n04
@hanifyusrian3254,2 years ago,"Rasa sayang bgt sih di atas 300 juta masih rada kurang, boleh buatan Daihatsu tapi jangan nunjukin ciri khas Daihatsu nya lah😂.",0,https://youtube.com/watch?v=FDU3zV2_n04
@alvintanimin9218,1 year ago (edited),"Lah ini versi sedannya bos dari Avanza 🤣🤣🤣🤣

Vios ini platformnya DNGA sekarang bukan TNGA, jadi dari mesin sampe CVT apalagi sasis ya sama dengan Avanza 😂😂😂

Apalagi Interior Dashboard dan Speedonya bahasanya persis Avanza Agya Raize Veloz 😂😂😂 jangan kaget kalo lihat interior Yaris Cross malah lebih mirip kemana

Kalo versi TNGA adanya di Altis krn mahal",0,https://youtube.com/watch?v=FDU3zV2_n04
@doupe9768,1 year ago,memang agak bingung saya ngeliat transformasi vios ini. Facelift thailand itu dianggap gen brp sebenernya,0,https://youtube.com/watch?v=FDU3zV2_n04
@Its.yogsss,2 months ago,Literasi didalami lagi mas 🤭,0,https://youtube.com/watch?v=FDU3zV2_n04
@almikurniawan5082,2 years ago,"Di suratnya beda tp bang. Dan ada bbrpa part yg susah diupgrade karena mahal sperti rem abs, spedo digital.",0,https://youtube.com/watch?v=FDU3zV2_n04
@Optimis212,2 years ago,"TOYOTA SELALU GAGAL MEMBUAT GRIL DEPAN YANG MEWAH..

GRIL NYA JELEEKKK..",0,https://youtube.com/watch?v=FDU3zV2_n04
@bagustri1463,2 years ago,bagus pdhl tapi kok toyota kek gk niat jualan vios yak pdhl bentuk nya bagus,0,https://youtube.com/watch?v=FDU3zV2_n04
@RaymondMaulany,2 years ago,"om coba review vios Gen 3 yang facelift, susah cari reviewnya, tampilannya kan udah ga kayak taksi lagi, sama mirip Yaris Joker, mesin juga udah beda, sama transmisi udah cvt, orang kira dulu itu gen 4, taunya facelift aja, jadi ada yang sebut vios gen 3.5 (2018-2022)",2,https://youtube.com/watch?v=FDU3zV2_n04
@ocidimoto1111,2 years ago,6:43 awas cing..kucing ga da ahlak🤣🤣,1,https://youtube.com/watch?v=FDU3zV2_n04
@ocidimoto1111,2 years ago,kog hampir mirip sama civic turbo yg baru om🤣🤣🤣🤣🤣🤣,0,https://youtube.com/watch?v=FDU3zV2_n04
@yasirgibran134,2 years ago,Layar depan nya ga ngalangin pandang an tah,0,https://youtube.com/watch?v=FDU3zV2_n04
@dutapratama5773,2 years ago,Kekurangannya di bagian belakang sempit,1,https://youtube.com/watch?v=FDU3zV2_n04
@aseven7777,2 years ago,Bukannya ini vios gen 5 ya?? Soalnya stau sya gen 4 itu yg headlamp n tailight nya kyk new yaris,0,https://youtube.com/watch?v=FDU3zV2_n04
@irwanhistory924,2 years ago,Harga brapa mang?,0,https://youtube.com/watch?v=FDU3zV2_n04
@hariyantochendana2997,2 years ago,Saya suka cara bicara nya..tenang..santai..kalem dan penting jelas..ada reviewer yg ga enak didengerin..god job...👌👍,4,https://youtube.com/watch?v=FDU3zV2_n04
@Webkeren,2 years ago,tetap beraroma taxi,0,https://youtube.com/watch?v=FDU3zV2_n04
@adriannnznn,2 years ago,Vios joker gak dianggap 😂😂,1,https://youtube.com/watch?v=FDU3zV2_n04
@ReaperSideGaming,2 years ago,tunggu versi GR nya aja kaya di Thailand dan Filipina ~,1,https://youtube.com/watch?v=FDU3zV2_n04
@ahmadpacica8993,2 years ago,"Meskipun g ada versi taksi nya 
Tp Mau gak mau tetap Nama Vios itu identik dgn mobil taksi taksi
Vios = Taxi 🤭",0,https://youtube.com/watch?v=FDU3zV2_n04
@marcofrendy,2 years ago,"Mending beli vios baru atau Pajero Sport Dakar 2016/2017 second  ? 
Secara harga mirip""",0,https://youtube.com/watch?v=FDU3zV2_n04
@YATSUP,2 years ago,"kok boros ya 11.2 Km/L. padahal CVT.

Vios Gen 1 Saya selalu 15 Km/L.",0,https://youtube.com/watch?v=FDU3zV2_n04
@10muhammadfebry,2 years ago,Teleskopik dan ini sedan.,0,https://youtube.com/watch?v=FDU3zV2_n04
@RSID,2 years ago,kayak Avanza baru versi sedannya.,0,https://youtube.com/watch?v=FDU3zV2_n04
@dhafinrizky6447,2 years ago,"Motomobi 
@motomobitv",0,https://youtube.com/watch?v=FDU3zV2_n04
@dhafinrizky6447,2 years ago,dhafin,0,https://youtube.com/watch?v=FDU3zV2_n04
@Moch.AdamAliyyansyah,2 years ago,Macam betul aja komenmu,1,https://youtube.com/watch?v=FDU3zV2_n04
@pandamealtime,2 years ago,Walau bukan user vios... Tpi suka kesel kalau ada yg bilang vios mobil taksi...lah mereka kurang jauh aja maennya gk tau kalau alpard & mercy jga mobil taksi...bahkan waktu dlu gw ke thailand lambo jdi taksi,1,https://youtube.com/watch?v=FDU3zV2_n04
@aweaweaweaweawe,2 years ago,"(A couple months Later)

Keluar yang warna biru nya seliweran dijalan 😂",0,https://youtube.com/watch?v=FDU3zV2_n04
@alwayssucces9422,2 years ago,Jangan maulah toyota kerjasama sama taxi biar gak keliatan murahan !,0,https://youtube.com/watch?v=FDU3zV2_n04
@mvplovers24,2 years ago,padahal alphard mercedes jg jadi taxi tp kok g gengsi ya pakenya hahaha,0,https://youtube.com/watch?v=FDU3zV2_n04
@fazaremario9045,2 years ago,gen 5 ini mah . gen 4 nya yg mukanya sama ama yaris joker,0,https://youtube.com/watch?v=FDU3zV2_n04
@diadoraalvaro696,2 years ago,gak enak banget ngejelasinnya,0,https://youtube.com/watch?v=FDU3zV2_n04
@masbravideo5785,2 years ago,Ini tuh om mobi tanpa mask ya,0,https://youtube.com/watch?v=FDU3zV2_n04
@yopieeeeeUWU,2 years ago,dari dulu juga bilangnya:  tidak akan buat taksi...😂,0,https://youtube.com/watch?v=FDU3zV2_n04
@afifmaulana9425,2 years ago,Hem modelnya keren sih ala ala Chevrolet.,0,https://youtube.com/watch?v=FDU3zV2_n04
@relishnblemishes,2 years ago,Harusnya rebranding dengan tidak menggunakan nama vios lagi kalau mau stigma taksi nya hilang.,2,https://youtube.com/watch?v=FDU3zV2_n04
@rajabangkit5320,2 years ago,Diluat negeri namanya yaris,0,https://youtube.com/watch?v=FDU3zV2_n04
@alvinad5995,2 years ago,"Jadi mikir, apakah akan ada vios gr?",1,https://youtube.com/watch?v=FDU3zV2_n04
@habibiehasyim2618,2 years ago (edited),"Saya pake vios gen 3 emang bener om parah banget traffic noise nya ganggu. 
Mau nanya ni om, untuk gen 4 ini kalo kita u turn gmna beloknya patah gk ya? Kalau selama ini gen 3 saya pake, u turnnya gk bisa patah dan itu menggangu -_-",0,https://youtube.com/watch?v=FDU3zV2_n04
@serbaserbi1027,2 years ago,"Ini gen 4 ya om, bukan gen 5?
Soalnya kan sebelum ini ada juga vios yang mukanya kayak yaris joker, itu masuk facelift atau gen 4 ya om?",0,https://youtube.com/watch?v=FDU3zV2_n04
@donna163,2 years ago (edited),"Grill depan Toyota sekarang kaya gigi boneng dan interiornya terlalu sederhana..contoh aja Altis terbaru, saking sederhana interiornya jadi kelihatan murahan",0,https://youtube.com/watch?v=FDU3zV2_n04
@SJW4813,2 years ago,Body belakang nya jelek kaya mobil ibu2,0,https://youtube.com/watch?v=FDU3zV2_n04
@lolitarosiana6235,2 years ago,"""Mobil yang dulunya tennarrr""",0,https://youtube.com/watch?v=FDU3zV2_n04
@STARHEXALKNIVES,2 years ago,Avanza versi sedan,0,https://youtube.com/watch?v=FDU3zV2_n04
@bklf123,2 years ago,lohh om moto mobi uda face refile to?,0,https://youtube.com/watch?v=FDU3zV2_n04
@ruszhankabul5008,2 years ago,"Dipastikan VIOS tidak ada versi taksi-nya, yang jadi taksi judulnya LIMO 😂 (netijen trauma)",0,https://youtube.com/watch?v=FDU3zV2_n04
@budinugraha1227,2 years ago,Bukan. Ini Mamank Ican (Aspros Auto) bukan Om Mobi.,0,https://youtube.com/watch?v=FDU3zV2_n04
@budinugraha1227,2 years ago,Vios = Yaris Ativ,0,https://youtube.com/watch?v=FDU3zV2_n04
@YATSUP,2 years ago,gen 5 ini harusnya. karna gen 4 itu mulai 2018,0,https://youtube.com/watch?v=FDU3zV2_n04
@budinugraha1227,2 years ago,Beda Orang. Ini Mamank Ican (Aspros Auto) bukan Om Mobi.,0,https://youtube.com/watch?v=FDU3zV2_n04
@miftahulkhoir407,2 years ago,Kalo Jadi vios HB cakep kayanya nih,0,https://youtube.com/watch?v=FDU3zV2_n04
@alipkasep7095,2 years ago,Tetep ajah Vios mobil taxi yang berimbang d masyrkt,0,https://youtube.com/watch?v=FDU3zV2_n04
@estetikremix2824,2 years ago,TAXI ENGGA TAPI GRAB,0,https://youtube.com/watch?v=FDU3zV2_n04
@AbdullahAdnanID,2 years ago,"18:36 mungkin disediakan ruang buat pemasangan turbo mas, makanya kopong. :D",1,https://youtube.com/watch?v=FDU3zV2_n04
@VanReactions,2 years ago,Tetep aja males klo namanya masih vios,0,https://youtube.com/watch?v=FDU3zV2_n04
@flowergenerations,2 years ago,vios saya uji 3thn 0-100 saya paksa dari diam langsung gas full... daaaaannn..tidak jebol mesin tsb..saya pakai versi Matic...salut buat 1NZ ..,0,https://youtube.com/watch?v=FDU3zV2_n04
@JetDunk,2 years ago,Lumayan mengganggu kyknya layar tinggi,0,https://youtube.com/watch?v=FDU3zV2_n04
@ogutdoank2063,2 years ago,"steering wheel nya,mirip expander ultimate yak,,hnya beda di dlogo toyota dan mitshubisi,,1 vendor mungkin yaa",0,https://youtube.com/watch?v=FDU3zV2_n04
@gerontiusishady7229,2 years ago,"bukan ngga keluar bang yang versi taksi, tapi belum keluar aja versi limonya...wkwkwk",0,https://youtube.com/watch?v=FDU3zV2_n04
@heruwarsito-fn2jv,2 years ago,Nissan Sentra 2008 vs Vios 2013 Gen 3 ... Jauh lbih enak sentra 2008 ... Ntah kenapa... Penasaran sama Vios 2023,0,https://youtube.com/watch?v=FDU3zV2_n04
@haciibno,2 years ago,"INTINYA JIKA ADA MOBIL SEDAN NODIFNYA ANEH ANEH, FIX MOBIL EX TAXI. 😃😁👌",0,https://youtube.com/watch?v=FDU3zV2_n04
@sigitpramono4950,2 years ago,"Generasi keduanya malah lebih jelek nggak sih, yaris banget",0,https://youtube.com/watch?v=FDU3zV2_n04
@2024changes.me1_,2 years ago,mirip audi A series😍,0,https://youtube.com/watch?v=FDU3zV2_n04
@modestuserwin,2 years ago,mamang ican kakaknya bagas ya udahhhh ya,0,https://youtube.com/watch?v=FDU3zV2_n04
@dekstopcomputer,2 years ago,Masih dong....,0,https://youtube.com/watch?v=FDU3zV2_n04
@bimoberdi6823,2 years ago,Fake taxy,0,https://youtube.com/watch?v=FDU3zV2_n04
@g.rasputin5219,2 years ago,Tu mobil taxi kagak bisa rusak.,0,https://youtube.com/watch?v=FDU3zV2_n04
@kftmotorsport,2 years ago,salfok sama beauty engine covernya njoged :(,0,https://youtube.com/watch?v=FDU3zV2_n04
@haloo4226,2 years ago,"Ada kok om , aku waktu umroh kemaren , di arab di jadiin taksi",0,https://youtube.com/watch?v=FDU3zV2_n04
@stenodwn1581,2 years ago,eh...mana vios lepas keli...ni kat malaysia...generasi kelima,0,https://youtube.com/watch?v=FDU3zV2_n04
@krisdiantopratama8496,2 years ago,Bagus,0,https://youtube.com/watch?v=FDU3zV2_n04
@DrgPutra,2 years ago,"Gpp lah bang mirip ""sesuatu"", asalkan harganya ga seperti ""sesuatu"" itu yang versi turbo nya 1m'an 🥴",0,https://youtube.com/watch?v=FDU3zV2_n04
@Papijenna24,2 years ago (edited),"Setelah Gen 3 ada model sebelum yang ini Tahun 2019 , pernah liat Type E nya dipake Mobdin AURI . 😂 Jd ini gen 5 ya",2,https://youtube.com/watch?v=FDU3zV2_n04
@oraykarung6728,2 years ago,Bukannya itu geneeasi 5,0,https://youtube.com/watch?v=FDU3zV2_n04
@girimuliawan8032,2 years ago,om kyknya lensa / sensornya hrs di bersihin deh ada beberapa yg kelihatan bercak2nya :D,0,https://youtube.com/watch?v=FDU3zV2_n04
@herynoegroho4257,2 years ago,"Ehhh baru liat om Mobi ngga pake masker... 
😁😁👍👍👍",0,https://youtube.com/watch?v=FDU3zV2_n04
@fahreezann6155,2 years ago,bukanya gen 4 yang mukanya kyk yaris itu?,0,https://youtube.com/watch?v=FDU3zV2_n04
@gluduggludug,2 years ago,Lexus,0,https://youtube.com/watch?v=FDU3zV2_n04
@redipustaka3222,2 years ago,"Gen 4 ini benar-benar revolusi Vios, mantaaap",0,https://youtube.com/watch?v=FDU3zV2_n04
@MadeInJapan389,2 years ago,Loh vios joker kelewatttt,0,https://youtube.com/watch?v=FDU3zV2_n04
@randomuser6584,2 years ago,Klau di brunei vios nie memang kereta kesukaan brunei,0,https://youtube.com/watch?v=FDU3zV2_n04
@demenkereta,2 years ago,"Mobilnya keren
https://youtu.be/_MqyS-tMlek",0,https://youtube.com/watch?v=FDU3zV2_n04
@raisondetre118,2 years ago,UDAH LAHH GA USAH DIRAGUIN DARI DULU SMPE SKRG GAK ADA CRITANYA PAKE VIOS BUAT HARIAN GA ENAK,0,https://youtube.com/watch?v=FDU3zV2_n04
@anthonyking6309,2 years ago,"Coba ke thailand om, taxi nya ginian semua xD",0,https://youtube.com/watch?v=FDU3zV2_n04
@ramatata143,2 years ago,"Samping mirip new Akord, belakang mirip be em we",0,https://youtube.com/watch?v=FDU3zV2_n04
@andhykas5523,2 years ago,"Mirip Raize ya speedometernya, stirnya juga",0,https://youtube.com/watch?v=FDU3zV2_n04
@sarimoon2247,2 years ago,Kenapa om ga pake topeng,0,https://youtube.com/watch?v=FDU3zV2_n04
@handigunawan90,2 years ago,"saya melihat mamang 1 ini entah saudara atau adiknya om mobi,, suara dan postur muka mirip om mobi..😂",0,https://youtube.com/watch?v=FDU3zV2_n04
@Supercar179,2 years ago,"Sekarang mobil apa ajh di jadiin taksi bahkan travel.  Mercy alphard , zenix inova reborn fortuner dll",0,https://youtube.com/watch?v=FDU3zV2_n04
@Supercar179,2 years ago (edited),"Kalo liat di ig pedagang vios ex taxi suka heran sendiri ,, mereka dah keluarin vios gen 4 gen 5 gen 6,, dengan basic gen 3 di tempel bodykit wkkwkw  ,, kalo di komen ehh itu bukannya gen 3 ganti bemper doang bang .. Ehh jawabnya ttep kekeh gen 4 ini bang gen 5 ini bang wkwkwk geli2 dah",0,https://youtube.com/watch?v=FDU3zV2_n04
@budinugraha1227,2 years ago,Beda Orang. Ini Mamank Ican (Aspros Auto) bukan Om Mobi.,0,https://youtube.com/watch?v=FDU3zV2_n04
@extremelyjuicy6034,2 years ago,"dirasain dulu, ini dnga sama ama avanza",0,https://youtube.com/watch?v=FDU3zV2_n04
@YATSUP,2 years ago,belakang mirip city,0,https://youtube.com/watch?v=FDU3zV2_n04
@budinugraha1227,2 years ago,Beda orang. Ini Mamank Ican (Aspros Auto) bukan Om Mobi,0,https://youtube.com/watch?v=FDU3zV2_n04
@zakyilhamizain,2 years ago,Apakah mungkin ini om mobi?🤣,0,https://youtube.com/watch?v=FDU3zV2_n04
@budinugraha1227,2 years ago," @zakyilhamizain  Beda Orang. Ini Mamang Ican (Aspros Auto) bukan Om Mobi.
Om Mobi orang Jakarta
Mamang Ican orang Bandung",0,https://youtube.com/watch?v=FDU3zV2_n04
@iqbalmaulanafahrezy8751,2 years ago,Mls bgt yg review mamang mamang bosenin,0,https://youtube.com/watch?v=FDU3zV2_n04
@expocel34,2 years ago,"Gan, ini bukanx Gen 5, krn sthu sy, Gen 4 kembali kaya model Gen 2, cb deh di cek lg. (Maaf kl sy slh).. 🙏",0,https://youtube.com/watch?v=FDU3zV2_n04
@demonjunaedi,2 years ago,Mirip banget Camry,0,https://youtube.com/watch?v=FDU3zV2_n04
@agungkristiyono1486,2 years ago,"Avanza,vios kesan taxi",0,https://youtube.com/watch?v=FDU3zV2_n04
@ceramahstory4289,2 years ago,"Namanya vios. Pasti org pikir 2 x buat beli masih terkesan taxi pdhal taxi selain vios bnyak cuma vios sudh mnjadi icon taxi. Mnding discontinue ganti nama bodi sama pasti laku, sok ngatur kali gw 🤣.",0,https://youtube.com/watch?v=FDU3zV2_n04
@dedidp1554,2 years ago,Kalau semisal beli ini tapi malu sama nama vios karena image taksi nya tinggal lepas aja sih nama vios nya pasti orang nyangka nya ini sedan mewah toyota karena overall tampilan luar dalam nya juga mendukung,0,https://youtube.com/watch?v=FDU3zV2_n04
@alfin742,2 years ago,city banget,0,https://youtube.com/watch?v=FDU3zV2_n04
@hobbykloyongan,2 years ago,"Sy pake eks taksi BB gen 3 2013 , Alhmdlh 2 tahun pemakaian hanya jajan  ganti oli & ban,  tune up. Bensin irit, mesin bandel.",2,https://youtube.com/watch?v=FDU3zV2_n04
@croissantmania,2 years ago (edited),"1:26 Vios pertama itu tahun 2003 deh. Tahun 2002 masih Soluna.
2:20 Generasi 3 ganti mesin di tahun 2016, pakai 2NR-FE, barengan Yaris dan Sienta.",25,https://youtube.com/watch?v=FDU3zV2_n04
@erichibunmaeh5497,2 years ago,"15:19 juga, kenapa toyota senang menyunat front deffoger ya? yaris vios yg lama bgitu, sama kaya sienta, arah sembur sih lengkap, panel AC  yg skrg sudah digital. ini mobil udh mau  nanngung aja ada dummy tombol di AC ??? ini mobil udah 300jt an padahal.",1,https://youtube.com/watch?v=FDU3zV2_n04
@erichibunmaeh5497,2 years ago,"yaris dan vios knp nama beda ya? pdhl dalam luar hampir sama..  andai sj mrka satu nama dan berbagai jenis mobil misalny viris gitu🤣 (vios - yaris)  dengan bentuk mobil  hatchback, sedan, wagon ? pasti keren. cuman nasi dh jadi bubur, inilah yg terjadi skrg👍👍",0,https://youtube.com/watch?v=FDU3zV2_n04
@farrelalfathan4753,2 years ago,klo kenceng ya bakpao sih,0,https://youtube.com/watch?v=FDU3zV2_n04
@ARDI2744,2 years ago,"Bagus banget, tapi gk tau kenapa udah terlanjur jatuh cinta sama honda city.",0,https://youtube.com/watch?v=FDU3zV2_n04
@elnino-og9gi,2 years ago,"Ada 1 versi lagi habis versi 3 om, entah itu facelift atau beda versi. Tapi yg jelas mesin udh NR",0,https://youtube.com/watch?v=FDU3zV2_n04
@andreairfanaziz3214,2 years ago,Belakang dah mirip bmw seri 7 aja nih,0,https://youtube.com/watch?v=FDU3zV2_n04
@kangbaharudinmlp,2 years ago,Bukannya yang sekarang generasi 6 om ??,0,https://youtube.com/watch?v=FDU3zV2_n04
@masadam9270,2 years ago,Menyelenyeh apa om,0,https://youtube.com/watch?v=FDU3zV2_n04
@fajri2856,2 years ago,"Yok tantan para modifika 
Suru modif vios ini jadi tampilan  spord car",0,https://youtube.com/watch?v=FDU3zV2_n04
@Sky7Folds,2 years ago,"Saya pemakai Vios gen1 tahun 2003.
Saya pake sesuai fungsinya angkut2 barang dan penumpang (keluarga)
Apakah gengsi make mobil tua??
TENTU TIDAK disesuaikan fungsinya saja.",0,https://youtube.com/watch?v=FDU3zV2_n04
@Onedaytrip_03,2 years ago,Sayang sudah tidak diproduksi di Indonesia lagi,0,https://youtube.com/watch?v=FDU3zV2_n04
@YATSUP,2 years ago,ga ah. yg penting info nya lengkap.,0,https://youtube.com/watch?v=FDU3zV2_n04
@redipustaka3222,2 years ago,Udah bagus gini masih ada aja yg malu pake. Cuma gegara cap mobil taksi. Pola pikir yg nyeleneh,0,https://youtube.com/watch?v=FDU3zV2_n04
@gilangw595,10 months ago,gara-gara pajak pemerintah buat mobil sedan mahal banget.. terpaksa sunat ini itu,0,https://youtube.com/watch?v=FDU3zV2_n04
@redipustaka3222,2 years ago,Sepakat bang. Hanya org2 yg cari gengsi saja yg malu pake mobil ini.,0,https://youtube.com/watch?v=FDU3zV2_n04
@laludongker9557,2 years ago,Civik persi toyota nih,0,https://youtube.com/watch?v=FDU3zV2_n04
@reggiecell6529,2 years ago,JD pengen ganti Ayla dengan vios,0,https://youtube.com/watch?v=FDU3zV2_n04
@ppdigabus2872,2 years ago,cenderung meniru hyundai sonata secara kaca siku belakang dan jok belakangnya mengikuti nissan almera ... saya pikir ini lambatnya r&d toyota yg menguber target mobil sejuta umat :face-green-smiling::face-green-smiling::face-green-smiling:,0,https://youtube.com/watch?v=FDU3zV2_n04
@agussumartono5467,2 years ago,Ini harusnya generasi ke 5. Bukan begitu Om Mobi?,0,https://youtube.com/watch?v=FDU3zV2_n04
@deadwood21plus,2 years ago,Ini kalau ada versi GRnya pasti makin keren. Bentuk lampu depan & belakangnya sporty banget.,39,https://youtube.com/watch?v=FDU3zV2_n04
@aldirizkipratama1366,2 years ago,"Selama saya kerja di perusahaan taksi, tidak pernah ada pengemudi yang mengeluhkan mesin jebol, atau permasalahan di segmen permesinan. Mesin vios ini badak bgt emang walaupun udh di siksa beratus ratus kilometer 👍🏻",79,https://youtube.com/watch?v=FDU3zV2_n04
@faizismail3420,2 years ago,Diindonesia vios 2022 ga ada ya? Version 4? Kalau dalam video ini version 5,0,https://youtube.com/watch?v=FDU3zV2_n04
@setogembot,2 years ago,Ntaran jg rilis versi taxi bos orang di Ancol mercy Avantgarde aja 2015 bejibun,0,https://youtube.com/watch?v=FDU3zV2_n04
@namadefault4375,2 years ago,Lucu ada kucing numpang lewat 🤣,0,https://youtube.com/watch?v=FDU3zV2_n04
@fikrimasgars,2 years ago,"Ada yg keskip Om, Vios ‘Joker’.
Bukan generasi sih, tapi major facelift wkwk 😂",3,https://youtube.com/watch?v=FDU3zV2_n04
@ranggawulung08,2 years ago,Gak muasoook. 😁😁,0,https://youtube.com/watch?v=FDU3zV2_n04
@harryandrean9380,2 years ago,aslinya udh keren tpi klo di modif dkit lagi pasti jdi lebih keren👍,1,https://youtube.com/watch?v=FDU3zV2_n04
@IKHSANAMAKOE,2 years ago,Coba om kasi ke saya.. saya jujur ga gengsi kok om 😂,0,https://youtube.com/watch?v=FDU3zV2_n04
@rickydyrga2050,2 years ago,"Ditempat saya Inova reborn, Alphard,Pajero dan Fortuner. Jadi mobil travel. Skrng mobi dibawah 700 juta bukan termasuk barang mewah lagi. Uda biasa aja. Siapa aja Uda bisa beli mobil. Meskipun kredit.",0,https://youtube.com/watch?v=FDU3zV2_n04
